"","OperacionSalud","Factor","N° de Personas","Year"
"1","KOF",0,6532,2023
"2","KOF",1,11937,2023
"3","KOF",2,1827,2023
"4","KOF",2.4,854,2023
"5","KOF",2.8,219,2023
"6","KOF",3,163,2023
"7","KOF",3.4,168,2023
"8","KOF",3.8,48,2023
"9","KOF",4,19,2023
"10","KOF",4.4,3,2023
"11","KOF",4.8,5,2023
"12","México",0,2042,2023
"13","México",1,7542,2023
"14","México",2,675,2023
"15","México",2.4,353,2023
"16","México",2.8,41,2023
"17","México",3,115,2023
"18","México",3.4,103,2023
"19","México",3.8,19,2023
"20","México",4,19,2023
"21","México",4.4,0,2023
"22","México",4.8,0,2023
"23","Guatemala",0,0,2023
"24","Guatemala",1,0,2023
"25","Guatemala",2,0,2023
"26","Guatemala",2.4,0,2023
"27","Guatemala",2.8,0,2023
"28","Guatemala",3,0,2023
"29","Guatemala",3.4,0,2023
"30","Guatemala",3.8,0,2023
"31","Guatemala",4,0,2023
"32","Guatemala",4.4,0,2023
"33","Guatemala",4.8,0,2023
"34","Costa Rica",0,31,2023
"35","Costa Rica",1,128,2023
"36","Costa Rica",2,4,2023
"37","Costa Rica",2.4,7,2023
"38","Costa Rica",2.8,3,2023
"39","Costa Rica",3,0,2023
"40","Costa Rica",3.4,4,2023
"41","Costa Rica",3.8,0,2023
"42","Costa Rica",4,0,2023
"43","Costa Rica",4.4,0,2023
"44","Costa Rica",4.8,0,2023
"45","Nicaragua",0,11,2023
"46","Nicaragua",1,432,2023
"47","Nicaragua",2,120,2023
"48","Nicaragua",2.4,57,2023
"49","Nicaragua",2.8,60,2023
"50","Nicaragua",3,0,2023
"51","Nicaragua",3.4,22,2023
"52","Nicaragua",3.8,3,2023
"53","Nicaragua",4,0,2023
"54","Nicaragua",4.4,0,2023
"55","Nicaragua",4.8,0,2023
"56","Panamá",0,1,2023
"57","Panamá",1,46,2023
"58","Panamá",2,3,2023
"59","Panamá",2.4,5,2023
"60","Panamá",2.8,5,2023
"61","Panamá",3,2,2023
"62","Panamá",3.4,0,2023
"63","Panamá",3.8,0,2023
"64","Panamá",4,0,2023
"65","Panamá",4.4,0,2023
"66","Panamá",4.8,0,2023
"67","Colombia",0,178,2023
"68","Colombia",1,886,2023
"69","Colombia",2,383,2023
"70","Colombia",2.4,122,2023
"71","Colombia",2.8,44,2023
"72","Colombia",3,11,2023
"73","Colombia",3.4,2,2023
"74","Colombia",3.8,1,2023
"75","Colombia",4,0,2023
"76","Colombia",4.4,0,2023
"77","Colombia",4.8,0,2023
"78","Venezuela",0,545,2023
"79","Venezuela",1,1326,2023
"80","Venezuela",2,377,2023
"81","Venezuela",2.4,220,2023
"82","Venezuela",2.8,45,2023
"83","Venezuela",3,24,2023
"84","Venezuela",3.4,28,2023
"85","Venezuela",3.8,17,2023
"86","Venezuela",4,0,2023
"87","Venezuela",4.4,3,2023
"88","Venezuela",4.8,5,2023
"89","Brasil",0,3297,2023
"90","Brasil",1,966,2023
"91","Brasil",2,262,2023
"92","Brasil",2.4,0,2023
"93","Brasil",2.8,0,2023
"94","Brasil",3,9,2023
"95","Brasil",3.4,0,2023
"96","Brasil",3.8,0,2023
"97","Brasil",4,0,2023
"98","Brasil",4.4,0,2023
"99","Brasil",4.8,0,2023
"100","Argentina",0,309,2023
"101","Argentina",1,264,2023
"102","Argentina",2,0,2023
"103","Argentina",2.4,38,2023
"104","Argentina",2.8,19,2023
"105","Argentina",3,0,2023
"106","Argentina",3.4,9,2023
"107","Argentina",3.8,8,2023
"108","Argentina",4,0,2023
"109","Argentina",4.4,0,2023
"110","Argentina",4.8,0,2023
"111","Uruguay",0,118,2023
"112","Uruguay",1,347,2023
"113","Uruguay",2,3,2023
"114","Uruguay",2.4,52,2023
"115","Uruguay",2.8,2,2023
"116","Uruguay",3,2,2023
"117","Uruguay",3.4,0,2023
"118","Uruguay",3.8,0,2023
"119","Uruguay",4,0,2023
"120","Uruguay",4.4,0,2023
"121","Uruguay",4.8,0,2023
